trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,fixation.started,image_2.started,fixation_2.started,image.stopped,fixation.stopped,image_2.stopped,fixation_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,12.003095624997513,12.003095624997513,12.078899166997871,12.078899166997871,,,,,333156,001,2023-03-17_10h50.07.623,simple VEP,2022.2.4,None,
1,0,1,0,12.17576929200004,12.17576929200004,12.263895208001486,12.263895208001486,12.263895208001486,12.263895208001486,12.359356749999279,12.359356749999279,333156,001,2023-03-17_10h50.07.623,simple VEP,2022.2.4,None,
2,0,2,0,12.359356749999279,12.359356749999279,12.459589291996963,12.459589291996963,12.4484440419983,12.4484440419983,12.548512499997742,12.548512499997742,333156,001,2023-03-17_10h50.07.623,simple VEP,2022.2.4,None,
3,0,3,0,12.5593977919998,12.5593977919998,12.6593447080013,12.6593447080013,12.646760582996649,12.646760582996649,12.747887249999621,12.747887249999621,333156,001,2023-03-17_10h50.07.623,simple VEP,2022.2.4,None,
4,0,4,0,12.759825791996263,12.759825791996263,12.859712500001478,12.859712500001478,12.848184082999069,12.848184082999069,12.946696792001603,12.946696792001603,333156,001,2023-03-17_10h50.07.623,simple VEP,2022.2.4,None,
5,0,5,0,12.960214332997566,12.960214332997566,13.059557041997323,13.059557041997323,13.04701458299678,13.04701458299678,13.148442833000445,13.148442833000445,333156,001,2023-03-17_10h50.07.623,simple VEP,2022.2.4,None,
6,0,6,0,13.159591541996633,13.159591541996633,13.259406582998054,13.259406582998054,13.247312958003022,13.247312958003022,13.348216917001992,13.348216917001992,333156,001,2023-03-17_10h50.07.623,simple VEP,2022.2.4,None,
7,0,7,0,13.359585457998037,13.359585457998037,13.459569291997468,13.459569291997468,13.4471489580028,13.4471489580028,13.548372375000326,13.548372375000326,333156,001,2023-03-17_10h50.07.623,simple VEP,2022.2.4,None,
8,0,8,0,13.559543124996708,13.559543124996708,13.659380291996058,13.659380291996058,13.64789991699945,13.64789991699945,13.748335750002298,13.748335750002298,333156,001,2023-03-17_10h50.07.623,simple VEP,2022.2.4,None,
9,0,9,0,13.759532083000522,13.759532083000522,13.85954933299945,13.85954933299945,13.846655957997427,13.846655957997427,13.94914366699959,13.94914366699959,333156,001,2023-03-17_10h50.07.623,simple VEP,2022.2.4,None,
10,0,10,0,13.959601374997874,13.959601374997874,14.059451708002598,14.059451708002598,14.04816558300081,14.04816558300081,14.148426082996593,14.148426082996593,333156,001,2023-03-17_10h50.07.623,simple VEP,2022.2.4,None,
11,0,11,0,14.159557457998744,14.159557457998744,14.25948445800168,14.25948445800168,14.247160207996785,14.247160207996785,14.348329082997225,14.348329082997225,333156,001,2023-03-17_10h50.07.623,simple VEP,2022.2.4,None,
12,0,12,0,14.359585582998989,14.359585582998989,14.459630999997898,14.459630999997898,14.4469967920013,14.4469967920013,14.54863229199691,14.54863229199691,333156,001,2023-03-17_10h50.07.623,simple VEP,2022.2.4,None,
